1 4.548483 -0.781395 3.6 13.8034 -16.9936
1 4.548483 -0.781395 4.5 13.5269 -16.9801
1 4.548483 -0.781395 5.8 12.3462 -16.5915
1 4.548483 -0.781395 8 10.7570 -16.0646
1 4.548483 -0.781395 24 7.0882 -15.0767
2 5.020029 0.90111 3.6 12.1416 -16.3289
2 5.020029 0.90111 4.5 12.7979 -16.6885
2 5.020029 0.90111 5.8 11.9203 -16.4211
2 5.020029 0.90111 8 11.3613 -16.3063
2 5.020029 0.90111 24 5.3383 -14.3767
3 11.818667 -0.0258 3.6 11.8778 -16.2234
3 11.818667 -0.0258 4.5 11.8003 -16.2895
3 11.818667 -0.0258 5.8 9.8428 -15.5901
3 11.818667 -0.0258 8 8.4130 -15.1270
3 11.818667 -0.0258 24 4.6859 -14.1157
4 12.741267 -0.0004 3.6 10.1022 -15.5132
4 12.741267 -0.0004 4.5 10.0294 -15.5811
4 12.741267 -0.0004 5.8 10.1459 -15.7113
4 12.741267 -0.0004 8 9.4640 -15.5474
4 12.741267 -0.0004 24 5.1902 -14.3175
5 17.225237 -0.584033 3.6 11.7838 -16.1858
5 17.225237 -0.584033 4.5 11.8587 -16.3128
5 17.225237 -0.584033 5.8 11.7333 -16.3463
5 17.225237 -0.584033 8 9.9827 -15.7549
5 17.225237 -0.584033 24 7.0508 -15.0617
6 17.784417 0.034222 3.6 11.3029 -15.9934
6 17.784417 0.034222 4.5 11.7656 -16.2756
6 17.784417 0.034222 5.8 10.3917 -15.8097
6 17.784417 0.034222 8 8.6989 -15.2414
6 17.784417 0.034222 24 5.8792 -14.5931
7 28.141688 -0.192917 3.6 11.5738 -16.1018
7 28.141688 -0.192917 4.5 11.7242 -16.2590
7 28.141688 -0.192917 5.8 11.2633 -16.1583
7 28.141688 -0.192917 8 9.8235 -15.6912
7 28.141688 -0.192917 24 0 0
8 28.141976 -0.192786 3.6 14.3490 -17.2119
8 28.141976 -0.192786 4.5 14.3591 -17.3130
8 28.141976 -0.192786 5.8 13.9850 -17.2470
8 28.141976 -0.192786 8 10.1138 -15.8073
8 28.141976 -0.192786 24 10.8039 -16.5630
9 28.729475 -0.539626 3.6 12.8537 -16.6138
9 28.729475 -0.539626 4.5 12.7164 -16.6559
9 28.729475 -0.539626 5.8 11.5031 -16.2542
9 28.729475 -0.539626 8 9.5305 -15.5740
9 28.729475 -0.539626 24 5.3235 -14.3708
10 36.399831 -0.466475 3.6 12.8442 -16.6100
10 36.399831 -0.466475 4.5 13.0593 -16.7931
10 36.399831 -0.466475 5.8 13.4584 -17.0364
